ID,FIELD
IT\ICCU\MSM\0041522,Che farò
IT\ICCU\MSM\0041523,Come pace aver potrei
IT\ICCU\MSM\0041524,Se di gloria in ogni impresa
IT\ICCU\MSM\0041525,Cara negli occhi tuoi
IT\ICCU\MSM\0037297,Chi dice mal d'amore
IT\ICCU\MSM\0040123,Io ti vidi t'ammirai
IT\ICCU\MSM\0040272,Allor che hai fame
IT\ICCU\MSM\0040290,Per quel paterno amplesso
IT\ICCU\MSM\0040582,Sposo amato amato bene
IT\ICCU\MSM\0040583,Vaga mano sospirata
IT\ICCU\MSM\0040584,Mio signor garbato e bello
IT\ICCU\MSM\0040586,Son morta son morta
IT\ICCU\MSM\0040587,Io m'accosto a poco a poco
IT\ICCU\MSM\0040882,Ragiona al core invano
IT\ICCU\MSM\0040883,Superbo di me stesso
IT\ICCU\MSM\0040884,Vanne da me lontano
IT\ICCU\MSM\0040886,Io dirò se nel gestire non avrò l'ingegno e l'arte
IT\ICCU\MSM\0040887,S'inalzi un mausoleo
IT\ICCU\MSM\0041066,Del mio seno il dolce ardore
IT\ICCU\MSM\0040924,Io vi lascio e in tale istante
IT\ICCU\MSM\0040925,D'Amor fra le ritorte
IT\ICCU\MSM\0041069,Deh ti scorda in quel momento
IT\ICCU\MSM\0041070,Ah chi frenar può mai
IT\ICCU\MSM\0041075,Vincitor di Lauri adorno
IT\ICCU\MSM\0041510,Vado a morir ben mio
IT\ICCU\MSM\0041526,Come vivere potrei
IT\ICCU\MSM\0041528,Deh tu Signore che vedi
IT\ICCU\MSM\0041529,Va superbo e pensa ormai
IT\ICCU\MSM\0041530,Misero che farò
IT\ICCU\MSM\0037283,Nel cor più non mi sento
IT\ICCU\MSM\0039777,Pien d'affetto
IT\ICCU\MSM\0039778,Tu al cui sguardo onnipossente
IT\ICCU\MSM\0039779,Sinfonie
IT\ICCU\MSM\0039780,Oppresso dal duolo
IT\ICCU\MSM\0040273,Quando la notte
IT\ICCU\MSM\0040274,Due lustri finiranno
IT\ICCU\MSM\0040276,Son le lettere finite
IT\ICCU\MSM\0040277,Alto là che cosa è questa
IT\ICCU\MSM\0040278,Abbracciami o sposo
IT\ICCU\MSM\0040279,Al sapientissimo Cadi d'oriente
IT\ICCU\MSM\0040280,Che far poss'io
IT\ICCU\MSM\0040423,Se mai turbo il tuo riposo
IT\ICCU\MSM\0040424,Al mio ben che m'innamora
IT\ICCU\MSM\0040425,Ombra del genitore
IT\ICCU\MSM\0040573,Vedrai spietata figlia
IT\ICCU\MSM\0040578,Son da tutti abbandonata
IT\ICCU\MSM\0040875,Intorno a noi risplende luce modesta e pura
IT\ICCU\MSM\0040876,Dille che l'aure io spiro
IT\ICCU\MSM\0040877,"Sodo, sodo or vi favello"
IT\ICCU\MSM\0041186,Dai perigli e dagli affanni
IT\ICCU\MSM\0041187,Numi eterni che il mondo reggete
IT\ICCU\MSM\0041188,Oh cara tu sei l'angelo
IT\ICCU\MSM\0041189,Sei bella...si bellissima
IT\ICCU\MSM\0041190,Perchè se tanti siete
IT\ICCU\MSM\0041191,Quell'amor che poco accende
IT\ICCU\MSM\0041192,Già tuo sono e mia tu sei
IT\ICCU\MSM\0041194,Perché si dolce ha il murmure
IT\ICCU\MSM\0041195,Il riposo e la sua pace
IT\ICCU\MSM\0041198,Adorata mia speranza
IT\ICCU\MSM\0041199,Ah perché se mia tu sei
IT\ICCU\MSM\0041200,Ah non lasciarmi no
IT\ICCU\MSM\0041201,Ogni dolce aura che spira
IT\ICCU\MSM\0041202,Lungi dal caro bene
IT\ICCU\MSM\0041067,"Alma Dea, che in sen mi vedi"
IT\ICCU\MSM\0041068,Che colpo è questo mai
IT\ICCU\MSM\0041204,Pensa che figlia sei
IT\ICCU\MSM\0041205,La sorte mia tiranna
IT\ICCU\MSM\0041206,Superbo di me stesso
IT\ICCU\MSM\0041208,Ti lascio al ben che adori
IT\ICCU\MSM\0041209,Teco resti anima mia
IT\ICCU\MSM\0041210,A tornar la bella aurora
IT\ICCU\MSM\0041211,Il riposo e la sua pace
IT\ICCU\MSM\0041214,Che l'ira mia disarmi
IT\ICCU\MSM\0041215,D'un infelice oppresso
IT\ICCU\MSM\0041216,Di chi mi fiderò
IT\ICCU\MSM\0041217,Se resto sul lido
IT\ICCU\MSM\0041218,"Io vi lascio, e questo addio"
IT\ICCU\MSM\0041219,Io vi lascio e questo addio
IT\ICCU\MSM\0041512,Pensa che i giorni miei
IT\ICCU\MSM\0041513,Pensieri a capitolo
IT\ICCU\MSM\0041514,Nel mirar le soglie
IT\ICCU\MSM\0041515,Debbo penar così
IT\ICCU\MSM\0041517,A una tenera occhiatina
IT\ICCU\MSM\0041518,Avrai la sorte amica
IT\ICCU\MSM\0041519,Mi sorprende un tanto affetto
IT\ICCU\MSM\0041787,"Ah, parlate"
IT\ICCU\MSM\0037279,*Usi a versar il sangue
IT\ICCU\MSM\0040098,Sinfonie
IT\ICCU\MSM\0040099,Sinfonie
IT\ICCU\MSM\0040262,Anima mia deh cedi
IT\ICCU\MSM\0040263,E questa è un'aria fatta per me
IT\ICCU\MSM\0040264,Non havvi uom docile più del poeta
IT\ICCU\MSM\0040265,Ah mechant Germain
IT\ICCU\MSM\0040426,A tanti affanni in seno
IT\ICCU\MSM\0040427,Paventa del mio sdegno non meriti il perdono
IT\ICCU\MSM\0040428,Ah se l'avverso fato a me ti toglie
IT\ICCU\MSM\0040429,Ah se l'avverso fato a me ti toglie
IT\ICCU\MSM\0040430,Andiamo a passo lento
IT\ICCU\MSM\0040867,Guarda la sposina
IT\ICCU\MSM\0040878,Dei qual voce qual sembiante
IT\ICCU\MSM\0040879,Sovra questo iniquo lido
IT\ICCU\MSM\0040881,Fanciulla sventurata
IT\ICCU\MSM\0041482,Audivi vocem de coëlo dicentem
IT\ICCU\MSM\0041212,Prendi un estremo amplesso
IT\ICCU\MSM\0041213,Tremi chi è tuo nemico
IT\ICCU\MSM\0041500,Tu lo sai ben mio
IT\ICCU\MSM\0037604,O Signor chi sarà mai
IT\ICCU\MSM\0037609,*Nel mirar si vaghi oggetti
IT\ICCU\MSM\0040100,Sinfonia
IT\ICCU\MSM\0040101,Sinfonia
IT\ICCU\MSM\0040102,Sinfonie
IT\ICCU\MSM\0040248,Se tu non senti oh Dio pietà
IT\ICCU\MSM\0040251,Qual tetro orror m'assale
IT\ICCU\MSM\0040420,"Padre, sposo io vado a morte"
IT\ICCU\MSM\0040712,Son lungi e non mi brami
IT\ICCU\MSM\0040715,Rimanti in pace io vado
IT\ICCU\MSM\0040868,Se fui sempre amiche stelle
IT\ICCU\MSM\0040869,Parlar le cause
IT\ICCU\MSM\0040870,Mentre stava fra veglia e fra sonno
IT\ICCU\MSM\0040871,Tieni un bacio ed un amplesso
IT\ICCU\MSM\0040873,Al mio dolce e vivo ardore
IT\ICCU\MSM\0041009,Perché se mio tu sei
IT\ICCU\MSM\0041466,Qui tollis
IT\ICCU\MSM\0041480,Qui suscitasti Lazarum
IT\ICCU\MSM\0041481,Qui suscitasti Lazarum
IT\ICCU\MSM\0041485,Qui sedes
IT\ICCU\MSM\0041486,Laudamuste benedicimus
IT\ICCU\MSM\0041492,Ah che mai dissi
IT\ICCU\MSM\0041493,Il riposo e la sua pace
IT\ICCU\MSM\0041494,La tua fierezza ammiro
IT\ICCU\MSM\0041497,Dolce sonno
IT\ICCU\MSM\0041498,Cara negli occhi tuoi
IT\ICCU\MSM\0041499,Guardami in questo ciglio
IT\ICCU\MSM\0041502,Se di gloria in ogni impresa
IT\ICCU\MSM\0041503,Chi schiava è d'amore
IT\ICCU\MSM\0041504,Come pace aver potrei
IT\ICCU\MSM\0041505,Guardami e in questo ciglio
IT\ICCU\MSM\0041509,Perché se tanti siete
IT\ICCU\MSM\0039744,Superbo di me stesso
IT\ICCU\MSM\0039745,Parlar le cause
IT\ICCU\MSM\0039747,Bell'enee abbandonate
IT\ICCU\MSM\0039750,Da mille furie sono agitata
IT\ICCU\MSM\0039752,Per quel paterno amplesso
IT\ICCU\MSM\0037610,E' deserto il bosco intorno
IT\ICCU\MSM\0040254,Va crescendo il mio tormento
IT\ICCU\MSM\0040257,Vidi un giorno
IT\ICCU\MSM\0040405,Quando saprai chi sono
IT\ICCU\MSM\0040407,Dov'è il cimento
IT\ICCU\MSM\0040554,Piombar vedesti il fulmine
IT\ICCU\MSM\0040555,Serba o cara il primo affetto
IT\ICCU\MSM\0040556,Che farò co' figli miei
IT\ICCU\MSM\0040557,Ah spirar
IT\ICCU\MSM\0040559,Partirò dal caro bene
IT\ICCU\MSM\0040560,Non temer amato bene
IT\ICCU\MSM\0040561,Cara speme in tal momento
IT\ICCU\MSM\0040718,Quanto è fiero il mio tormento
IT\ICCU\MSM\0040860,Or che risuonano là su nell'etere
IT\ICCU\MSM\0040861,Questa non era o cara
IT\ICCU\MSM\0040862,Questa non era o cara nel mio felice amor
IT\ICCU\MSM\0040863,Questa non era o cara nel mio felice amor
IT\ICCU\MSM\0040864,Cara da voi dipende la pace del mio cor
IT\ICCU\MSM\0041012,Rondinella a cui rapita
IT\ICCU\MSM\0041013,Ah che mai dissi
IT\ICCU\MSM\0041014,Misera io spero
IT\ICCU\MSM\0041015,Dopo il fremente nembo
IT\ICCU\MSM\0041636,Non temere o madre amata
IT\ICCU\MSM\0037583,Rollend in schaumenden Welten
IT\ICCU\MSM\0037585,Holde Gattin
IT\ICCU\MSM\0040409,Resta in pace o mio tesoro
IT\ICCU\MSM\0040410,Ombra temuta e cara
IT\ICCU\MSM\0040413,Vo cercando in queste arene
IT\ICCU\MSM\0040549,Fra mille furori che calma non hanno
IT\ICCU\MSM\0040562,La destra ti chiedo
IT\ICCU\MSM\0040699,Giunto alla tomba
IT\ICCU\MSM\0040700,Teneri sdegni
IT\ICCU\MSM\0040701,"Rimanti, in pace io vado"
IT\ICCU\MSM\0040704,Tempesta io son
IT\ICCU\MSM\0040705,Vengo a te mesta e dolente
IT\ICCU\MSM\0040706,Numi d'orror di morte
IT\ICCU\MSM\0040865,Qui non è
IT\ICCU\MSM\0040866,Nuova luce mi rischiara
IT\ICCU\MSM\0041000,Brillar mi sento il core
IT\ICCU\MSM\0041001,No no non v'è maggior diletto
IT\ICCU\MSM\0041002,Alma superba e fiera
IT\ICCU\MSM\0041003,Questo palpito soave
IT\ICCU\MSM\0041004,Un infelice amante
IT\ICCU\MSM\0041005,Con spirito e bravura
IT\ICCU\MSM\0041913,Sinfonia
IT\ICCU\MSM\0040063,Son infelice son sventurato
IT\ICCU\MSM\0040064,Guardami e in questo ciglio
IT\ICCU\MSM\0040065,La vedovella senza marito
IT\ICCU\MSM\0040212,Frena l'insano orgoglio
IT\ICCU\MSM\0038250,Se la pace alfin bramate
IT\ICCU\MSM\0040550,Fra tanti affanni miei
IT\ICCU\MSM\0040551,"Sì, domerò fra poco"
IT\ICCU\MSM\0040552,"Ove son, vacillo e tremo"
IT\ICCU\MSM\0040553,Rammenta che fedele
IT\ICCU\MSM\0040689,Se cerca se dice l'amico dov'è
IT\ICCU\MSM\0040693,Ed oh mia morte avventurosa appieno!
IT\ICCU\MSM\0040694,Qual musico gentil
IT\ICCU\MSM\0040695,Ma ecco omai l'ora fatale è giunta
IT\ICCU\MSM\0040853,Or che il cielo a me ti rende
IT\ICCU\MSM\0040855,"Che ascoltai, qual fredda mano"
IT\ICCU\MSM\0040856,Tremante...Confusa
IT\ICCU\MSM\0040857,O ciel sogno o son desto
IT\ICCU\MSM\0040858,Di Marte fiero cessi il furor
IT\ICCU\MSM\0040859,A voi torno sponde care
IT\ICCU\MSM\0041006,Nume che il cor accendi
IT\ICCU\MSM\0041007,D'un barbaro affanno
IT\ICCU\MSM\0041008,Perché se mio tu sei
IT\ICCU\MSM\0041447,Indico Gen...e d'onde quella voce
IT\ICCU\MSM\0040520,Torna alle sacre sponde
IT\ICCU\MSM\0040521,Vieni a gioir con noi
IT\ICCU\MSM\0040522,Qual tetro orror m'assale
IT\ICCU\MSM\0040523,Qual tetro orror m'assale
IT\ICCU\MSM\0040524,Se non moro ai piedi tuoi
IT\ICCU\MSM\0040662,Dovea svenarti allora
IT\ICCU\MSM\0040663,Ciel con mille fulmini
IT\ICCU\MSM\0040675,D'un infelice amore
IT\ICCU\MSM\0040676,Questo fulmine tremendo
IT\ICCU\MSM\0040677,Quel sangue a me si caro
IT\ICCU\MSM\0040678,Ah perchè fra tante pene
IT\ICCU\MSM\0040679,Ah qual orror funesto
IT\ICCU\MSM\0040827,Alleluja
IT\ICCU\MSM\0040973,Caro ben amato sposo
IT\ICCU\MSM\0040974,Le destra ti chiedo
IT\ICCU\MSM\0040975,Che soave zeffiretto
IT\ICCU\MSM\0040976,Che soave zeffiretto
IT\ICCU\MSM\0040977,La tua clemenza imploro
IT\ICCU\MSM\0040978,La tua clemenza imploro
IT\ICCU\MSM\0040979,Cari oggetti del mio core
IT\ICCU\MSM\0040980,Ah spirar con te vorrei
IT\ICCU\MSM\0042005,Dolce fiamma di gloria
IT\ICCU\MSM\0042164,Che l'ira mia disarmi
IT\ICCU\MSM\0042165,Fanciulla prigioniera
IT\ICCU\MSM\0042166,Vada innanzi favorisca
IT\ICCU\MSM\0042167,Giacché morir degg'io
IT\ICCU\MSM\0042168,Oh ciel che passo è questo
IT\ICCU\MSM\0042169,Oh ciel che passo è questo
IT\ICCU\MSM\0042170,Oh ciel che passo è questo
IT\ICCU\MSM\0042646,Sinfonie
IT\ICCU\MSM\0040372,Non tradirmi in questo istante
IT\ICCU\MSM\0040511,La vostra Pamela v'adora costante
IT\ICCU\MSM\0040512,Ah Signor voi non vedete
IT\ICCU\MSM\0040665,Parto oh Dio
IT\ICCU\MSM\0040666,Sono in mar non veggo sponde
IT\ICCU\MSM\0040668,A seguir l'onor
IT\ICCU\MSM\0040669,Ah se m'ami or ch'io ti lascio
IT\ICCU\MSM\0040670,Dal suo gentil sembiante
IT\ICCU\MSM\0040964,Ombre miste
IT\ICCU\MSM\0040965,Pensieri funesti
IT\ICCU\MSM\0040966,Dell'alma i voti ardenti
IT\ICCU\MSM\0040967,Sin nè tormenti istessi
IT\ICCU\MSM\0040968,Quel labbro vezzoso m'accende
IT\ICCU\MSM\0040981,Ah se in vita o mio tesoro
IT\ICCU\MSM\0040982,Ah se in vita o mio tesoro
IT\ICCU\MSM\0041124,Mentre dormi amor fomenti
IT\ICCU\MSM\0041129,Tu lo sai che ti vuò bene
IT\ICCU\MSM\0042010,Tu di quest'anima
IT\ICCU\MSM\0042011,Come versar potrei quel sangue
IT\ICCU\MSM\0042012,Giuro ch'altro mai
IT\ICCU\MSM\0042013,Il più gradito d'ogni marito
IT\ICCU\MSM\0042155,Guardami e in questo ciglio
IT\ICCU\MSM\0042626,Già mi pasco ne' tuoi sguardi
IT\ICCU\MSM\0042628,Preludii
IT\ICCU\MSM\0042629,Ah bello a me ritorna
IT\ICCU\MSM\0042630,Sinfonie
IT\ICCU\MSM\0042631,Mira o Norma ai tuoi ginocchi
IT\ICCU\MSM\0042632,Cavatina
IT\ICCU\MSM\0042633,Nel veder la tua costanza
IT\ICCU\MSM\0042634,Ah che dal dì che per l'infida
IT\ICCU\MSM\0042635,Che dalla gioia oppressa
IT\ICCU\MSM\0042636,Se pietoso d'un oblio
IT\ICCU\MSM\0040516,Della stagion novella
IT\ICCU\MSM\0040517,Dille che l'aure io spiro
IT\ICCU\MSM\0040518,Dille che l'aure io spiro
IT\ICCU\MSM\0040653,"Piango, è ver"
IT\ICCU\MSM\0040654,A torto spergiuro
IT\ICCU\MSM\0040655,A torto spergiuro
IT\ICCU\MSM\0040656,"Perchè, se tanti siete"
IT\ICCU\MSM\0040657,Che risolvo...che penso
IT\ICCU\MSM\0040658,È follia se nascondete
IT\ICCU\MSM\0040659,"Va, difendi il tuo tiranno"
IT\ICCU\MSM\0040660,Se in campo armato
IT\ICCU\MSM\0040955,Così il cor brillando va
IT\ICCU\MSM\0040969,All'idea de mali miei
IT\ICCU\MSM\0040970,Venga di nuovo amato
IT\ICCU\MSM\0040971,"Idol mio, mio bene amato"
IT\ICCU\MSM\0040972,"Idol mio, mio ben amato"
IT\ICCU\MSM\0041275,Oh minaccia ond'io
IT\ICCU\MSM\0041276,"Ombre dolenti, e pallide"
IT\ICCU\MSM\0041277,Ti seguirò fedele ombra
IT\ICCU\MSM\0041278,Sognai tormenti affanni
IT\ICCU\MSM\0041279,Sognai tormenti affanni
IT\ICCU\MSM\0041280,Per darvi alcun pegno
IT\ICCU\MSM\0041281,Non ti minaccio sdegno
IT\ICCU\MSM\0041282,"Regina, io qua non venni. Cara, deh torna in pace"
IT\ICCU\MSM\0041998,Rasserena il mesto ciglio
IT\ICCU\MSM\0041999,V'ho pregato ad iscusarmi
IT\ICCU\MSM\0042156,nel lasciarti amato bene
IT\ICCU\MSM\0042157,Ah sol bramo
IT\ICCU\MSM\0042158,Ah che mai dissi
IT\ICCU\MSM\0042159,Bella fiamma e solo oggetto
IT\ICCU\MSM\0042160,Come vivere potrei
IT\ICCU\MSM\0042161,Oh ciel che passo è questo
IT\ICCU\MSM\0042162,Superbo di mia sorte
IT\ICCU\MSM\0042163,Parto ma tu ricordati
IT\ICCU\MSM\0044216,Largo al factotum
IT\ICCU\MSM\0040661,Dovea svenarti allora
IT\ICCU\MSM\0040814,"Pietà, pietà d'un infelice"
IT\ICCU\MSM\0040961,Aure amiche deh volate
IT\ICCU\MSM\0040962,De puri affetti miei
IT\ICCU\MSM\0041107,Se cerca se dice
IT\ICCU\MSM\0041108,"Se cerca, se dice"
IT\ICCU\MSM\0041265,Oh cospetto d'un cavritto
IT\ICCU\MSM\0041266,"Un freddo gelo, un tremito"
IT\ICCU\MSM\0041267,Resta o cara... O cara...
IT\ICCU\MSM\0041268,Sognai tormenti affanni
IT\ICCU\MSM\0041269,Che smania che pena
IT\ICCU\MSM\0041270,"Sò, che una bestia sono"
IT\ICCU\MSM\0041272,Dileguatevi dal core
IT\ICCU\MSM\0042001,Fra il timor e la sorpresa
IT\ICCU\MSM\0042002,Vedrai mio ben la pecora
IT\ICCU\MSM\0042004,Sommo clemente Iddio
IT\ICCU\MSM\0042145,Sommi dei voi proteggete
IT\ICCU\MSM\0042147,Ad un fasto contumace
IT\ICCU\MSM\0042148,Empia man
IT\ICCU\MSM\0042150,Onde amiche deh scorgete
IT\ICCU\MSM\0042624,O cara memoria
IT\ICCU\MSM\0040946,Oh che gioia oh che contento
IT\ICCU\MSM\0040947,E non giunge
IT\ICCU\MSM\0040948,Anima mia deh cedi
IT\ICCU\MSM\0040949,Alto là che cosa è questa
IT\ICCU\MSM\0040950,Non havvi uom docile
IT\ICCU\MSM\0040951,E questa un aria fatta per me
IT\ICCU\MSM\0040953,Abbracciami o sposo
IT\ICCU\MSM\0041097,Che farò?chi mi consiglia
IT\ICCU\MSM\0041113,Poveri affetti miei
IT\ICCU\MSM\0041256,Né misteriosi accenti leggo il tuo cor. Vado... Ma... Ma pria vorrei
IT\ICCU\MSM\0041257,"Incerto, pentito, crudele"
IT\ICCU\MSM\0041258,S'armi la Grecia or ch'io ti lascio in abbandono
IT\ICCU\MSM\0041259,Veh come pallido
IT\ICCU\MSM\0041260,Giusto ciel soccorso aita
IT\ICCU\MSM\0041262,Gran Dio che dei mortali
IT\ICCU\MSM\0041263,Mi perdo... sì... mi perdo
IT\ICCU\MSM\0041273,Di generoso sdegno
IT\ICCU\MSM\0041274,Dove andrò
IT\ICCU\MSM\0042134,Non ricercar perdono
IT\ICCU\MSM\0042135,Che ascoltai
IT\ICCU\MSM\0042151,Guardami e in questo ciglio
IT\ICCU\MSM\0042152,Oh Dio che sembrami
IT\ICCU\MSM\0042153,Sento dividermi nel petto il cor
IT\ICCU\MSM\0042604,Sinfonia
IT\ICCU\MSM\0042605,Fa velo all'ira estrema
IT\ICCU\MSM\0042608,Sinfonie
IT\ICCU\MSM\0044198,Bagnato dalle lagrime
IT\ICCU\MSM\0044201,Santa voce al cuor mi suona
IT\ICCU\MSM\0044206,Ah non avea più lagrime
IT\ICCU\MSM\0043164,Fuga a otto voci reali
IT\ICCU\MSM\0041098,Ancor da te diviso
IT\ICCU\MSM\0041099,Quello sguardo
IT\ICCU\MSM\0041100,Quell'insano ed orgogliosa
IT\ICCU\MSM\0041101,Qual vostra serva umile
IT\ICCU\MSM\0041102,Va via se ancore ti ostini
IT\ICCU\MSM\0041104,Si maledetta sia pur la bassetta
IT\ICCU\MSM\0041105,Quanto è fiero il mio tormento
IT\ICCU\MSM\0041247,Piú ti guardo e piú ti ammiro
IT\ICCU\MSM\0041264,Mi perdo... sì... mi perdo
IT\ICCU\MSM\0042136,Volle o cara il ciel pietoso
IT\ICCU\MSM\0042137,A chi favelli audace
IT\ICCU\MSM\0042138,Resta o cara e calma intanto
IT\ICCU\MSM\0042140,Vada innanzi favorisca
IT\ICCU\MSM\0042141,Là fra l'armi
IT\ICCU\MSM\0042142,Vada innanzi favorisca
IT\ICCU\MSM\0042143,T'arresta invan
IT\ICCU\MSM\0042144,Il figlio
IT\ICCU\MSM\0042612,Sì per sempre non sarà
IT\ICCU\MSM\0042613,"Ma la sola, ohimè! son io"
IT\ICCU\MSM\0042614,Col sorriso d'innocenza
IT\ICCU\MSM\0041248,Va t'invola a un Re sdegnato
IT\ICCU\MSM\0041249,Mi consolo! Seguitate!
IT\ICCU\MSM\0041250,"Voglio, comando, ed ordino"
IT\ICCU\MSM\0041251,"Se cerca, se dice: l'amico"
IT\ICCU\MSM\0041252,"Se cerca, se dice: l'amico"
IT\ICCU\MSM\0041253,"La Grecia m'ascolti, mia sposa e regina"
IT\ICCU\MSM\0041254,"La Grecia m'ascolti, mia sposa e regina"
IT\ICCU\MSM\0041255,Cara negli occhi tuoi
IT\ICCU\MSM\0041542,Cadrà l'altera Roma
IT\ICCU\MSM\0041543,Che giorno infausto è questo
IT\ICCU\MSM\0041544,Se tu sapessi oh Dio
IT\ICCU\MSM\0041545,Ah se in ciel voi non godete
IT\ICCU\MSM\0041546,Rendo grazie al mio contino
IT\ICCU\MSM\0041547,Venne a lei
IT\ICCU\MSM\0041548,Ah ti basti che nel volto
IT\ICCU\MSM\0041549,Parto ma ricordati
IT\ICCU\MSM\0041550,A torto spietato
IT\ICCU\MSM\0042594,Parlar non vuoi?
IT\ICCU\MSM\0042595,Atto 4. Finale
IT\ICCU\MSM\0042596,"Ah! sì, il tempo che mai non s'arresta; Nel tuo paterno amplesso"
IT\ICCU\MSM\0042597,"Ernani! Ernani, involami"
IT\ICCU\MSM\0042598,"Ernani! Ernani, involami"
IT\ICCU\MSM\0042599,Sinfonia
IT\ICCU\MSM\0042600,Anch'io dischiuso un giorno
IT\ICCU\MSM\0042601,Sinfonie
IT\ICCU\MSM\0042602,Composizioni vocali
IT\ICCU\MSM\0042603,Quando co'suoi s'incontrano
IT\ICCU\MSM\0044191,Partite! Crudele!
IT\ICCU\MSM\0044193,Tutte le feste al tempio
IT\ICCU\MSM\0044194,Marcia
IT\ICCU\MSM\0041396,Micholle ecco il momento
IT\ICCU\MSM\0041531,Cada sull'alme audaci
IT\ICCU\MSM\0041532,Ad un fasto contumace
IT\ICCU\MSM\0041533,Deh se ancor vi rammentate
IT\ICCU\MSM\0041534,Morir dovrai mio ben
IT\ICCU\MSM\0042585,Qual voce!... Ah! dalle tenebre
IT\ICCU\MSM\0042586,Condotta ella era in ceppi
IT\ICCU\MSM\0042587,Atto 2. Finale
IT\ICCU\MSM\0044197,Traditor paventa
IT\ICCU\MSM\0042818,Quando corpus morietur
IT\ICCU\MSM\0043633,Sinfonia
IT\ICCU\MSM\0041535,Fra le palme fra gli allori
IT\ICCU\MSM\0041537,Mi scacci sdegnato
IT\ICCU\MSM\0041538,Ridente in ciel risplendere
IT\ICCU\MSM\0041539,Ohimé già vengo meno
IT\ICCU\MSM\0041540,Caro sei tu il mio bene
IT\ICCU\MSM\0039768,Come rugiada al cespite; Evviva! beviam!
IT\ICCU\MSM\0039770,Che l'ira mia
IT\ICCU\MSM\0042588,"Or co' dadi, ma fra poco"
IT\ICCU\MSM\0042589,Giorni poveri vivea
IT\ICCU\MSM\0042590,"Ah! si, ben mio"
IT\ICCU\MSM\0042591,D'amor sull'ali rosee
IT\ICCU\MSM\0042592,"Qual voce!..Come!..tu, donna?"
IT\ICCU\MSM\0042593,Se m'ami ancor
IT\ICCU\MSM\0044014,Fermate oh Dio
IT\ICCU\MSM\0039761,Stavo assisa in mezzo ai fiori
IT\ICCU\MSM\0039773,Nel mirarti
IT\ICCU\MSM\0044015,Deh parlate che forse tacendo
IT\ICCU\MSM\0044021,Quel sangue a me si caro
IT\ICCU\MSM\0039762,Un palpito atroce
IT\ICCU\MSM\0039763,Mio signor garbato e bello
IT\ICCU\MSM\0039765,Mi brami che pena
IT\ICCU\MSM\0039766,A innaffiar la fresca erbetta
IT\ICCU\MSM\0039767,Sempre all'alba ed alla sera
IT\ICCU\MSM\0039930,Accusato qual ladro
IT\ICCU\MSM\0044166,Composizioni operistiche
IT\ICCU\MSM\0044167,Poco dunque ti pare
IT\ICCU\MSM\0044168,Quel tuo sorriso altero
IT\ICCU\MSM\0042363,In honorem S.Luciæ
IT\ICCU\MSM\0039755,"Se cerca, se dice"
IT\ICCU\MSM\0039758,Ah tu sai se a quel sembiante
IT\ICCU\MSM\0040080,Sinfonie
IT\ICCU\MSM\0040092,Ouverture
IT\ICCU\MSM\0040093,Ouverture
IT\ICCU\MSM\0040094,Ouverture
IT\ICCU\MSM\0040095,Sinfonie
IT\ICCU\MSM\0040096,Sinfonia
IT\ICCU\MSM\0040097,Sinfonie
IT\ICCU\MSM\0040239,"Piano, piano miei Signori"
IT\ICCU\MSM\0040240,"Dite in grazia, quei signori"
IT\ICCU\MSM\0040241,Lo trovai per accidente
IT\ICCU\MSM\0043186,Cori
IT\ICCU\MSM\0043187,Cori
IT\ICCU\MSM\0043188,Cori
IT\ICCU\MSM\0043189,Cori
IT\ICCU\MSM\0043765,Meco tu vieni o misera
IT\ICCU\MSM\0039760,Dove sono ajmè ch'è questo
IT\ICCU\MSM\0040082,L' oro ha un colore
IT\ICCU\MSM\0040083,Non turbarti in tal periglio
IT\ICCU\MSM\0040230,Il ciel fiammeggia
IT\ICCU\MSM\0040242,Ah Giannasso sventurato
IT\ICCU\MSM\0040243,Oh delizia del mio cor
IT\ICCU\MSM\0040244,Che miro
IT\ICCU\MSM\0040245,Se un tenero Ardore
IT\ICCU\MSM\0040246,Pace soave e cara
IT\ICCU\MSM\0040231,Il ciel fiammeggia
IT\ICCU\MSM\0040232,"So che fra poco, indegno"
IT\ICCU\MSM\0040233,"Don Arsenio, che facimmo?"
IT\ICCU\MSM\0040234,Il figlio ritrovo
IT\ICCU\MSM\0040235,Il figlio ritrovo
IT\ICCU\MSM\0040236,"Cheto, sommesso, e tacito"
IT\ICCU\MSM\0040237,Gelido palpitante
IT\ICCU\MSM\0040388,Gema quest'alma oppressa
IT\ICCU\MSM\0040389,Non lagnarti d'una sposa
IT\ICCU\MSM\0040402,Ciel pietoso ciel clemente
IT\ICCU\MSM\0040403,Sommo ciel che il cor mi vedi
IT\ICCU\MSM\0040404,Ah per voi così bel giorno
IT\ICCU\MSM\0040536,Non ne voglio saper niente
IT\ICCU\MSM\0040539,Abbiate prudenza mio caro tutore
IT\ICCU\MSM\0040540,Ah mi fa male il core
IT\ICCU\MSM\0042648,Introduzioni
IT\ICCU\MSM\0042649,Infelice! Il veleno bevesti
IT\ICCU\MSM\0043258,Se talor più nol rammento
IT\ICCU\MSM\0040220,Quando verrà la sposa
IT\ICCU\MSM\0040221,Marituccio mio
IT\ICCU\MSM\0040222,"Confusa, smarrita"
IT\ICCU\MSM\0040223,Ah se in te lasciar degg' io
