RISM_ID,ID,128b,128c
850670421,IT\ICCU\MSM\0074422,"2V,Coro(5V),1str","S,Br,Coro(S,A,T,Br,B),pf"
850670424,IT\ICCU\MSM\0074425,"1str,orch","vl-solo,ob1,ob2,fag,cor1,cor2,vl1,vl2,vla,vlc,cb,cemb/org"
850670427,IT\ICCU\MSM\0074588,"3V,orch",""
850670449,IT\ICCU\MSM\0074768,"Coro(3V),1str","Coro(T1,T2,B),pf"
850670531,IT\ICCU\MSM\0076160,"1V,Coro(2V),1str","S,Coro(T,B),pf"
850670532,IT\ICCU\MSM\0076161,"2V,1str","S,S,pf"
850670533,IT\ICCU\MSM\0076162,"2V,1str","S,S,pf"
850670534,IT\ICCU\MSM\0076163,"1V,1str","S,pf"
850670540,IT\ICCU\MSM\0073948,"1V,1str","V,pf"
850670541,IT\ICCU\MSM\0073949,"1V,1str","A,pf/org"
850670551,IT\ICCU\MSM\0074096,"1V,1str","V,pf"
850670552,IT\ICCU\MSM\0074097,"1V,1str","V,pf"
850670553,IT\ICCU\MSM\0074098,"1V,1str","V,pf"
850670556,IT\ICCU\MSM\0074231,1str,pf
850670557,IT\ICCU\MSM\0074232,1str,pf
850670568,IT\ICCU\MSM\0074257,1str,pf-qt
850670669,IT\ICCU\MSM\0073929,banda,"fl,cl-picc,ob,cl,cl1,cl2,cl3,cl-b,fag,cor1,cor2,cor3,cnta,cnta1,cnta2,cnta3,tr,flic-a,bombno1,bombno2,bombno3,trb,trb,bombne,bombne,flic-cb,gc,timp"
850670670,IT\ICCU\MSM\0073930,banda,"fl,cl-picc,ob,cl,cl1,cl2,cl3,cl-b,fag,cor1,cor2,cor3,cor4,cnta1,cnta2,cnta3,tr,flic-a,bombno1,bombno2,bombno3,trb,trb,bombne,bombne,flic-cb,batt"
850670672,IT\ICCU\MSM\0073944,"1V,1str","V,pf"
850670680,IT\ICCU\MSM\0074088,"1V,1str","V,pf"
850670682,IT\ICCU\MSM\0074090,"1V,1str","S,pf"
850670683,IT\ICCU\MSM\0074091,"3V,1str","S,T,B,pf"
850670684,IT\ICCU\MSM\0074092,"1V,1str","S,pf"
850670688,IT\ICCU\MSM\0074234,1str,pf
850670689,IT\ICCU\MSM\0074235,1str,pf
850670690,IT\ICCU\MSM\0074236,1str,pf
850670702,IT\ICCU\MSM\0074413,orch,""
850670703,IT\ICCU\MSM\0074414,orch,"fl1,fl2,ob1,ob2,cl1,cl2,cl3,fag,vl1,vl2,vl3,vl4,vla1,vla2,vlc1,vlc2"
850670704,IT\ICCU\MSM\0074415,orch,"fl,ob,cl1,cl2,cl-b,fag,cor1,cor2,vl1,vl2,vl3,vl4,vla1,vla2,vlc1,vlc2,cb"
850670711,IT\ICCU\MSM\0074586,"1V,Coro(3V),1str","B-solo,Coro(T,T,B),org"
850670715,IT\ICCU\MSM\0074741,banda,"cl-picc1,cl-picc2,cl-s1,cl-s2,cl-s3,flic-sno,cnta1,cnta2,flic,cor1,cor2,cor3,tr1,tr2,tr3,tr4,flic-b,bombno,trb1,trb2,trb3,bombne1,bombne2,batt"
850670716,IT\ICCU\MSM\0074742,banda,"fl,cl-picc1,cl-picc2,cl-s1,cl-s2,cl-s3,cl-s4,cl-a1,cl-a2,cl-b1,cl-b2,sax-s,sax-a,sax-t,sax-br,sax-b,sar,cor1,cor2,cor3,tr1,tr2,flic-sno,cnta1,cnta2,flic-s,flic-a1,flic-a2,bombno1,bombno2,trb-princ,trb1,trb2,trb3,bombne1,bombne2,batt"
850670717,IT\ICCU\MSM\0074743,banda,"cl-a1,cl-a2,cl-b1,cl-b2,sax-s,sax-a,sax-t,sax-br,sax-b,sar,flic-a1,flic-a2"
850670718,IT\ICCU\MSM\0074744,banda,"ott,fl,cl,cl-picc,cl-s1,cl-s2,cl-b1,cl-b2,sax-s,sax-a,sax-t,sax-br,sax-b,flic-sno,cnta1,cnta2,flic-s,flic-t,flic-a,flic-cb,bombno1,bombno2,cor1,cor2,cor3,tr,tr-b,trb1,trb2,trb3,bombne,tamb,gc,pt"
850670741,IT\ICCU\MSM\0075245,banda,"fl,ob,cl-picc,cl1,cl2,cl3,cl-a,cl-b,sax-s,sax-a,sax-t,sax-br,sax-b,cor1,cor2,cor3,flic-sno1,flic-sno2,flic1,flic2,flic-a1,flic-a2,tr1,tr2,trb-princ,trb1,trb2,trb3,bombno1,bombno2,flic-cb,timp,tamb,gc,pt"
850670743,IT\ICCU\MSM\0075247,banda,"ott,cl-picc,cl1,cl2,cl3,cl4,cl5,cl6,cnta1,cnta2,flic,flic-a1,flic-a2,flic-a3,cor1,cor2,cor3,bombno1,bombno2,trb-princ,trb1,trb2,trb3,bombne,flic-cb,tamb,gc,pt"
850670781,IT\ICCU\MSM\0073760,1str,pf
850670797,IT\ICCU\MSM\0076294,"S,pf","S,pf"
850670798,IT\ICCU\MSM\0073931,banda,"fl,ott,ob,cl-picc,cl1,cl2,cl3,fag,cl-b,cor1,cor2,cor3,cor4,cnta1,cnta2,cnta3,flic-a,bombno1,bombno2,bombno3,trb,trb,b,bombne,bombne,gc,timp"
850670799,IT\ICCU\MSM\0073932,banda,"fl,ob,cl-picc,cl,cl1,cl2,cl3,cl-b,fag,cor,cor,cnta1,cnta2,cnta3,cnta4,cnta5,flic-a,trb,trb,bombno1,bombno2,bombne,bombne,flic-cb,gc,timp"
850670804,IT\ICCU\MSM\0073937,2str,"vl/fl,pf"
850670820,IT\ICCU\MSM\0074227,1str,pf
850670822,IT\ICCU\MSM\0074229,1str,pf
850670843,IT\ICCU\MSM\0074578,"1V,1str","T,org"
850670844,IT\ICCU\MSM\0074729,5str,"mand1,mand2,mla1,mla2,chit"
850670846,IT\ICCU\MSM\0074731,6str,"cl-picc,mand1,mand2,mla1,mla2,chit"
850670849,IT\ICCU\MSM\0074734,6str,"cl-picc,mand1,mand2,mla1,mla2,chit"
850670850,IT\ICCU\MSM\0074735,7str,"cl-picc,mand1,mand2,mla1,mla2,chit,cb"
850670872,IT\ICCU\MSM\0075243,banda,"fl,ob,cl-picc,cl1,cl2,cl3,cl-a,cl-b,sax-s,sax-a,sax-t,sax-br,sax-br,cor1,cor2,cor3,flic-sno1,flic-sno2,flic1,flic2,tr1,tr2,flic-a1,flic-a2,trb-princ,trb1,trb2,trb3,bombno1,bombno2,bombne,flic-cb,batt"
850670873,IT\ICCU\MSM\0075244,banda,"cl-picc,cl1,cl2,cl3,cnta1,cnta2,flic1,flic2,flic-a1,flic-a2,flic-a3,flic-a4,flic-a5,flic-a6,cor1,cor2,cor3,tr1,tr2,tr3,bombno1,bombno2,bombne,trb-princ,trb1,trb2,trb3,flic-cb,tamb,gc"
850670874,IT\ICCU\MSM\0075365,"Coro(4V),1str","Coro(S,A,T,B),pf"
850670876,IT\ICCU\MSM\0075367,"4V,1str","S,T,Br,B,pf"
850670877,IT\ICCU\MSM\0075249,banda,"fl,ott,ob,cl-picc,cl1,cl2,cl3,cl-a,cl-b,sax-s,sax-a,sax-t,sax-br,sax-b,flic-sno,cnta1,cnta2,flic1,flic2,tr1,tr2,tr-b1,tr-b2,cor1,cor2,cor3,flic-a1,flic-a2,flic-a3,trb-princ,trb1,trb2,trb3,bombno1,bombno2,bombne,flic-cb,tamb,gc,pt"
850670884,IT\ICCU\MSM\0075375,"1V,1str","V,pf"
850670885,IT\ICCU\MSM\0075376,"2V,1str","T,Br,pf"
850670926,IT\ICCU\MSM\0071752,"1V,1str","C,pf"
850670930,IT\ICCU\MSM\0076295,"1V,1str","T,pf"
850670931,IT\ICCU\MSM\0076296,"1V,1str","T,pf"
850670937,IT\ICCU\MSM\0076302,"1V,1str","T,pf"
850670945,IT\ICCU\MSM\0074202,banda,""
850670946,IT\ICCU\MSM\0074203,banda,"fl,ob1,ob2,eh,fag,cl-picc1,cl-picc2,cl-s1,cl-s2,cl-s3,cl-s4,cl-a1,cl-a2,cl-b1,cl-b2,sax-s,sax-a,sax-t,sax-br,sax-b,cor1,cor2,cor3,cor4,flic-sno,flic-s1,flic-s2,flic-a1,flic-a2,flic-a3,flic-bg1,flic-bg2,flic-bg3,flic-bg4,tr1,tr2,trb,trb1"
850670956,IT\ICCU\MSM\0074394,orch,"ob,cl,tr,cor,fag,trb,vl1,vl2,vla,vlc,cb"
