RISM_ID,ID,200a_f
850600194,IT\ICCU\MUS\0136360,"ALMA REDEMPTORIS, ANTIFONA | Bonaventura Furlanetto"
850600195,IT\ICCU\MUS\0136391,ALMA REDEMPTORIS | Bonaventura Furlanetto
850600196,IT\ICCU\MUS\0136563,"LAUDA JERUSALEM, SALMO 147 | Gaetano Lattilla"
850600214,IT\ICCU\MUS\0184673,PRELUDI | Giuseppe Dalla_Vecchia
850600276,IT\ICCU\MUS\0218385,Cantata per il Signore | Fr. An. Bonporti
850600282,IT\ICCU\MUS\0218381,Sabbato Sancto ad Matutinum | C. Morales
850600283,IT\ICCU\MUS\0219973,Valse | R. Leon
850600285,IT\ICCU\MUS\0219933,Sonate fur Klavier Solo | Ramon Riteland
850600290,IT\ICCU\MUS\0219896,Morning revisited | David Raksin
850600291,IT\ICCU\MUS\0215988,Batracomiomachia (da Omero) | Raffaele Cumar
850600292,IT\ICCU\MUS\0218687,[Antologia di madrigali cinquecenteschi] | [Trascritti da Siro Cisilino]
850600293,IT\ICCU\MUS\0218676,"Ad te Domine levavi, K.153 | Jo. Jos. Fux"
850600298,IT\ICCU\MUS\0253963,My little Maid and I Pastorale with Violoncello ad libitum | Words by William Richards
850600300,IT\ICCU\MUS\0270520,Una soave volontà di pianto| per pianoforte op. 107 inedita | Mario Tarenghi
850600303,IT\ICCU\MUS\0276992,Quelle signore | Stanislao Giacomantonio
850600304,IT\ICCU\MUS\0276993,La Venere di Scauro | Stanislao Giacomantonio
850600305,IT\ICCU\MUS\0276994,Messa solenne | Giuseppe Giacomantonio
850600306,IT\ICCU\MUS\0276988,Elegia per la morte di S.M. Umberto I | Stanislao Giacomantonio
850600307,IT\ICCU\MUS\0276989,Fior d'Alpe (gia Ponte del Diavolo) | Stanislao Giacomantonio
850600308,IT\ICCU\MUS\0276990,Fiore d'oblio | Stanislao Giacomantonio
850600309,IT\ICCU\MUS\0276991,La leggenda del ponte | Stanislao Giacomantonio
850600670,IT\ICCU\MSM\0001199,"Quis ut Deus | Te Deum a sedici | ossia | a quattro Cori | collocati primo, e Terzo da una parte, secondo | e quarto dall'altra | Opera | del Sig.r Giuseppe Iannacconi M[aest]ro di Cappella R[om]ano | e | La prima volta cantato nella Basilica Patriarcale | di"
850605643,IT\ICCU\MSM\0007751,I. Armonia | Andante mosso
850607543,IT\ICCU\MSM\0010420,Francesca Donato | di Felice Romani posto in musica per il teatro regio di Torino da Saverio Mercadante
850617078,IT\ICCU\MSM\0254839,"Marcia Prima | Estratta dai motivi dell'Introduzione, Coretto di Damigelle, | Coro dell'Aria del 2.do Atto e Caboletta [!] dell'Aria finale dell'Opera | L'ultimo giorno di Pompei | Ridotta | da G.F. Galegari [!] | Capobanda delle Bande della Guardia | di S.M. Siciliana"
850619721,IT\ICCU\MSM\0254840,"Marcia terza | Estratta dai motivi dopo la marcia trionfale di Sallustio, e | dall'allegro dell'Aria di Appio nell'Atto 2.do dell'Opera | L'ultimo giorno di Pompei | ridotta | da G.F. Galegari [!] | Capobanda Direttore delle Bande della Guardia | di S.M. Siciliana"
850624898,IT\ICCU\MSM\0026054,Partitura seconda | Gnocchi
850625029,IT\ICCU\MSM\0025858,Fuga Per Piano-Forte | Del Signor. G: F: Handel
850625030,IT\ICCU\MSM\0025859,Fuga Per Piano-Forte | Del Signor. G: F: Handel
850625031,IT\ICCU\MSM\0025860,Fuga Per Piano-Forte | Del Signor. G: F: Handel
850625058,IT\ICCU\MSM\0026036,S:t Agostino | Posto in musica Dal Sig.re Gio. Adolfo Hasse d.o il Sassone
850625059,IT\ICCU\MSM\0026037,Siroe | Del Sig:r Gio. Adolfo Hasse Saxon
850625060,IT\ICCU\MSM\0026038,Don Trastullo | del Sig.r Nicolò Jomelli
850625208,IT\ICCU\MSM\0026017,Cantate Lib. 2. | Marcello
850625209,IT\ICCU\MSM\0026018,Cantata a Basso solo Con Strumenti | Del N.H. Benedetto Marcello
850625227,IT\ICCU\MSM\0026039,Partitura Prima | Gnocchi
850625474,IT\ICCU\MSM\0254842,"Marcia quinta | Estratta dai motivi del principio del Finale ed Allegro della Cavatina | di Ottavia, il tutto nel 1.mo Atto dell'Opera | L'ultimo giorno di Pompei | ridotta | da G. F. Calegari | Capobanda Direttore delle Bande della Guardia di | S. M. Siciliana"
850626206,IT\ICCU\MSM\0028885,Adelaide di Guesclino | [Johann Simon Mayr]
850626207,IT\ICCU\MSM\0028886,Lauso e Lidia| Dramma| per| Musica| rappresentato nel Nob.mo Teatro La Fenice in Venezia| il Carnovale| 1798 | Del Sig: Simon Mayer
850626208,IT\ICCU\MSM\0028887,Asperges| Basso solo con Oboe | [Johann Simon Mayr]
850626209,IT\ICCU\MSM\0028888,Asperges Basso solo| Con Corno obbligato | [Johann Simon Mayr]
850626212,IT\ICCU\MSM\0028894,Avverte| Quartetto a varij stro| menti obbligati | [Johann Simon Mayr]
